Date,Status,Location,Speaker,Institution,Comments
29-Sep-2026,JMC,IFS,Weisheng Zhang,UCL,
6-Oct-2026,JMC,Not at the IFS,Yuanqi Zhang,UCL,
13-Oct-2026,Scheduled,IFS,Phil Hale,Yale,metrics-micro joint
20-Oct-2026,JMC,IFS,Chen-Wei Hsiang,UCL,
27-Oct-2026,JMC,IFS,Ruolei Zhu,UCL,
3-Nov-2026,JMC,IFS,Hua Jin,UCL,
10-Nov-2026,JMC,IFS,Ziyu Jiang,UCL,
17-Nov-2026,JMC,IFS,Yad Selvakumar,UCL,
24-Nov-2026,Scheduled,IFS,Sid Kankanala,Chicago Booth,
1-Dec-2026,Scheduled,IFS,Juan Carlos Escanciano,UC3M,Tang gives a brown bag the same day
8-Dec-2026,Scheduled,IFS,Davide Viviano,Harvard,
15-Dec-2026,Scheduled,IFS,David Ritzwoller,Harvard,
23-Feb-2027,Scheduled,IFS,Domenico Giannone,Johns Hopkins University,
2-Mar-2027,Scheduled,IFS,Cristina Gualdini,Queen Mary University of London,
9-Mar-2027,Scheduled,IFS,Tetsuya Kaji,Chicago Booth,
16-Mar-2027,Scheduled,IFS,Guido Kuersteiner,University of Maryland,
23-Mar-2027,Scheduled,IFS,Jing Kong,University of Oxford,
27-Apr-2027,Scheduled,IFS,Koen Jochmans,Toulouse School of Economics,
4-May-2027,Scheduled,IFS,Xinyue Bei,University of Texas at Austin,
11-May-2027,Scheduled,IFS,Jose Luis Montiel Olea,Cornell University,
18-May-2027,Scheduled,IFS,Louis Laage,Georgetown University,
1-Jun-2027,Scheduled,IFS,Silvia Goncalves,McGill University,
8-Jun-2027,Scheduled,IFS,Pat Kline,"University of California, Berkeley",metrics-micro joint
