Date,Speaker,Institution,Speaker URL,Title,Paper URL,Status,Special start time,Special end time,Special location
2026-09-29,Xiaosheng Mu,Princeton University,https://www.xiaoshengmu.com/,Privacy Preserving Auctions,,Scheduled,,,"Gordon House, rm 106"
2026-10-06,Boli Xu,"Tippie College of Business, University of Iowa",https://www.bolixu.com,Robust Contracting for Sequential Search,,Scheduled,,,"Darwin Building, rm B15"
2026-10-13,Andreas Ziegler,VU Amsterdam,https://www.andreasziegler.eu,TBA,,Scheduled,,,"Darwin Building, rm B15"
2026-10-20,Jacopo Perego,Columbia Business School,https://www.jperego.com,TBA,,Scheduled,,,"Darwin Building, rm B15"
2026-10-21,Andy Choi,University of Michigan,https://sites.google.com/site/andybchoi/,Providing Certainty,,Scheduled,TBD,,TBD
2026-10-27,Julia Salmi,Hanken School of Economics,https://sites.google.com/view/juliasalmi,TBA,,Scheduled,,,"Darwin Building, rm B15"
2026-11-03,Eduardo Faingold,Insper,https://eduardofaingold.com,N-Player Continuous-Time Repeated Games with Imperfect Public Information,,Scheduled,,,"Darwin Building, rm B15"
2026-11-10,Jeffrey Mensch,Hebrew University of Jerusalem,https://sites.google.com/site/jeffreyimensch/,Posterior-Separable Costs and Menu Preferences,https://drive.google.com/file/d/1XTpmPI_Wi6DfGlUYrEqrfYXYPHjcQ1Sn/view,Scheduled,,,"Darwin Building, rm B15"
2026-11-17,Fernando Payró,Universitat Autònoma de Barcelona,https://sites.google.com/site/ferpayrochew/home,TBA,,Scheduled,,,"Darwin Building, rm B15"
2026-11-24,Paulo Natenzon,"Washington University in St. Louis, Olin Business School",https://paulonatenzon.com,TBA,,Scheduled,,,"Darwin Building, rm B15"
2026-12-01,Luca Braghieri,Bocconi University,https://www.lucabraghieri.com,Meaningful Information,https://drive.google.com/file/d/1gLYwh26mJ4nK73kVyTyOXZyKvJZph3h_/view?usp=sharing,Scheduled,,,"Darwin Building, rm B15"
2026-12-08,Martino Banchio,Bocconi University,https://martinobanchio.github.io,TBA,,Scheduled,,,"Darwin Building, rm B15"
2026-12-09,J. Miguel Villas-Boas,"Haas School of Business, University of California - Berkeley",https://faculty.haas.berkeley.edu/villas/,Dynamic Pricing with Unobservable Consumer Learning,,Scheduled,TBD,,TBD
2026-12-15,Colin Stewart,University of Toronto,https://sites.google.com/view/colinstewart,Bayesian Persuasion without Commitment,https://arxiv.org/pdf/2511.18662,Scheduled,,,"Darwin Building, rm B15"
